id_trap,country,n,start,end,positives,p1_missing,p2_missing,any_missing,both_missing,p1_missing_percent,p2_missing_percent,any_missing_percent,both_missing_percent
1191,Switzerland,1,2020-09-08,2020-09-08,0,1,1,1,1,100.0,100.0,100.0,100.0
1299,Moldova,1,2020-10-11,2020-10-11,0,1,0,1,0,100.0,0.0,100.0,0.0
1304,Moldova,1,2020-10-11,2020-10-11,0,1,1,1,1,100.0,100.0,100.0,100.0
1307,Moldova,1,2020-10-11,2020-10-11,0,1,0,1,0,100.0,0.0,100.0,0.0
1509,Austria,1,2020-06-18,2020-06-18,0,1,1,1,1,100.0,100.0,100.0,100.0
1510,Austria,1,2020-06-18,2020-06-18,0,1,1,1,1,100.0,100.0,100.0,100.0
1511,Austria,1,2020-06-18,2020-06-18,0,1,1,1,1,100.0,100.0,100.0,100.0
1512,Austria,1,2020-06-18,2020-06-18,0,1,1,1,1,100.0,100.0,100.0,100.0
1514,Austria,1,2020-06-18,2020-06-18,0,1,1,1,1,100.0,100.0,100.0,100.0
1545,Austria,1,2020-07-01,2020-07-01,0,0,1,1,0,0.0,100.0,100.0,0.0
1546,Austria,1,2020-07-01,2020-07-01,0,0,1,1,0,0.0,100.0,100.0,0.0
1552,Austria,1,2020-07-01,2020-07-01,0,0,1,1,0,0.0,100.0,100.0,0.0
1553,Austria,1,2020-07-01,2020-07-01,0,0,1,1,0,0.0,100.0,100.0,0.0
1554,Austria,1,2020-07-01,2020-07-01,0,0,1,1,0,0.0,100.0,100.0,0.0
1562,Slovakia,1,2020-09-29,2020-09-29,0,0,1,1,0,0.0,100.0,100.0,0.0
1563,Slovakia,1,2020-09-29,2020-09-29,0,1,1,1,1,100.0,100.0,100.0,100.0
1564,Slovakia,1,2020-09-29,2020-09-29,0,0,1,1,0,0.0,100.0,100.0,0.0
1565,Slovakia,1,2020-09-29,2020-09-29,0,0,1,1,0,0.0,100.0,100.0,0.0
1572,Slovakia,1,2020-09-29,2020-09-29,0,0,1,1,0,0.0,100.0,100.0,0.0
1573,Slovakia,1,2020-09-29,2020-09-29,0,0,1,1,0,0.0,100.0,100.0,0.0
1574,Slovakia,1,2020-09-29,2020-09-29,0,0,1,1,0,0.0,100.0,100.0,0.0
1575,Slovakia,1,2020-09-29,2020-09-29,0,0,1,1,0,0.0,100.0,100.0,0.0
1576,Slovakia,1,2020-09-29,2020-09-29,0,0,1,1,0,0.0,100.0,100.0,0.0
1625,The Netherlands,1,2020-07-14,2020-07-14,0,1,1,1,1,100.0,100.0,100.0,100.0
1626,The Netherlands,1,2020-07-14,2020-07-14,0,1,1,1,1,100.0,100.0,100.0,100.0
1627,The Netherlands,1,2020-07-14,2020-07-14,0,1,1,1,1,100.0,100.0,100.0,100.0
1628,The Netherlands,1,2020-07-14,2020-07-14,0,1,1,1,1,100.0,100.0,100.0,100.0
1629,The Netherlands,1,2020-07-14,2020-07-14,0,1,1,1,1,100.0,100.0,100.0,100.0
1632,The Netherlands,1,2020-08-20,2020-08-20,1,1,1,1,1,100.0,100.0,100.0,100.0
1447,Austria,12,2020-05-12,2020-10-27,0,7,8,11,4,58.333333333333336,66.66666666666667,91.66666666666667,33.333333333333336
1340,Austria,8,2020-05-12,2020-10-09,0,5,5,7,3,62.5,62.5,87.5,37.5
1350,Austria,13,2020-05-12,2020-10-09,0,6,6,11,1,46.15384615384615,46.15384615384615,84.61538461538461,7.6923076923076925
1296,Austria,11,2020-05-24,2020-11-01,0,6,7,9,4,54.54545454545455,63.63636363636363,81.81818181818181,36.36363636363637
1290,Austria,5,2020-06-28,2020-09-27,0,3,3,4,2,60.0,60.0,80.0,40.0
1250,Austria,9,2020-05-08,2020-11-02,0,5,5,7,3,55.55555555555556,55.55555555555556,77.77777777777777,33.333333333333336
1235,Austria,12,2020-05-08,2020-10-30,0,5,7,9,3,41.666666666666664,58.333333333333336,75.0,25.0
1254,Austria,8,2020-05-08,2020-10-30,0,4,6,6,4,50.0,75.0,75.0,50.0
880,Serbia,4,2020-08-27,2020-10-09,0,2,1,3,0,50.0,25.0,75.0,0.0
1232,Austria,4,2020-05-08,2020-10-30,0,2,3,3,2,50.0,75.0,75.0,50.0
1248,Austria,4,2020-05-08,2020-11-02,0,2,3,3,2,50.0,75.0,75.0,50.0
1251,Austria,4,2020-05-08,2020-11-02,0,2,3,3,2,50.0,75.0,75.0,50.0
1353,Austria,4,2020-09-09,2020-11-03,0,1,3,3,1,25.0,75.0,75.0,25.0
1295,Austria,15,2020-05-10,2020-11-01,0,6,7,11,2,40.0,46.666666666666664,73.33333333333333,13.333333333333334
1247,Austria,11,2020-05-08,2020-10-26,0,5,7,8,4,45.45454545454545,63.63636363636363,72.72727272727273,36.36363636363637
1265,Austria,11,2020-05-08,2020-10-30,0,5,7,8,4,45.45454545454545,63.63636363636363,72.72727272727273,36.36363636363637
1236,Austria,17,2020-05-08,2020-10-30,0,7,8,12,3,41.1764705882353,47.05882352941177,70.58823529411765,17.647058823529413
1452,Austria,10,2020-05-12,2020-10-27,0,4,6,7,3,40.0,60.0,70.0,30.0
1243,Austria,13,2020-05-08,2020-10-30,0,7,7,9,5,53.84615384615385,53.84615384615385,69.23076923076923,38.46153846153846
1262,Austria,15,2020-05-08,2020-10-30,0,6,7,10,3,40.0,46.666666666666664,66.66666666666667,20.0
1252,Austria,12,2020-05-08,2020-10-30,0,4,7,8,3,33.333333333333336,58.333333333333336,66.66666666666667,25.0
1341,Austria,12,2020-05-12,2020-10-09,0,5,7,8,4,41.666666666666664,58.333333333333336,66.66666666666667,33.333333333333336
1464,Austria,3,2020-05-11,2020-08-16,0,1,2,2,1,33.333333333333336,66.66666666666667,66.66666666666667,33.333333333333336
1467,Austria,3,2020-05-11,2020-08-16,0,1,2,2,1,33.333333333333336,66.66666666666667,66.66666666666667,33.333333333333336
1468,Austria,3,2020-05-11,2020-08-16,0,1,2,2,1,33.333333333333336,66.66666666666667,66.66666666666667,33.333333333333336
1648,The Netherlands,3,2020-07-09,2020-07-23,0,1,2,2,1,33.333333333333336,66.66666666666667,66.66666666666667,33.333333333333336
1649,The Netherlands,3,2020-07-09,2020-07-23,0,1,2,2,1,33.333333333333336,66.66666666666667,66.66666666666667,33.333333333333336
1650,The Netherlands,3,2020-07-09,2020-07-23,0,1,2,2,1,33.333333333333336,66.66666666666667,66.66666666666667,33.333333333333336
1651,The Netherlands,3,2020-07-09,2020-07-23,0,1,2,2,1,33.333333333333336,66.66666666666667,66.66666666666667,33.333333333333336
1652,The Netherlands,3,2020-07-09,2020-07-23,0,1,2,2,1,33.333333333333336,66.66666666666667,66.66666666666667,33.333333333333336
1257,Austria,14,2020-05-08,2020-10-30,0,6,5,9,2,42.857142857142854,35.714285714285715,64.28571428571429,14.285714285714286
1258,Austria,14,2020-05-08,2020-10-30,0,6,7,9,4,42.857142857142854,50.0,64.28571428571429,28.571428571428573
378,Spain,13,2020-07-29,2020-11-18,1,4,6,8,2,30.76923076923077,46.15384615384615,61.53846153846154,15.384615384615385
480,Italy,13,2020-06-16,2020-11-03,8,5,6,8,3,38.46153846153846,46.15384615384615,61.53846153846154,23.076923076923077
1348,Austria,13,2020-05-12,2020-10-09,0,4,6,8,2,30.76923076923077,46.15384615384615,61.53846153846154,15.384615384615385
1237,Austria,18,2020-05-08,2020-10-30,0,6,8,11,3,33.333333333333336,44.44444444444444,61.111111111111114,16.666666666666668
1229,Austria,15,2020-05-08,2020-10-30,0,6,6,9,3,40.0,40.0,60.0,20.0
189,Spain,5,2020-09-05,2020-10-24,0,2,3,3,2,40.0,60.0,60.0,40.0
1450,Austria,17,2020-05-12,2020-10-27,0,5,9,10,4,29.41176470588235,52.94117647058823,58.8235294117647,23.529411764705884
191,Spain,7,2020-09-05,2020-10-24,0,2,3,4,1,28.571428571428573,42.857142857142854,57.142857142857146,14.285714285714286
1338,Austria,11,2020-05-12,2020-10-09,0,4,6,6,4,36.36363636363637,54.54545454545455,54.54545454545455,36.36363636363637
1445,Austria,15,2020-05-12,2020-10-27,0,5,7,8,4,33.333333333333336,46.666666666666664,53.333333333333336,26.666666666666668
1530,Austria,15,2020-06-02,2020-11-03,0,4,5,8,1,26.666666666666668,33.333333333333336,53.333333333333336,6.666666666666667
1242,Austria,17,2020-05-08,2020-10-30,0,5,7,9,3,29.41176470588235,41.1764705882353,52.94117647058823,17.647058823529413
1537,Austria,17,2020-05-12,2020-11-03,0,7,4,9,2,41.1764705882353,23.529411764705884,52.94117647058823,11.764705882352942
1263,Austria,18,2020-05-08,2020-10-30,0,6,7,9,4,33.333333333333336,38.888888888888886,50.0,22.22222222222222
1227,Austria,16,2020-05-08,2020-10-30,0,4,8,8,4,25.0,50.0,50.0,25.0
1256,Austria,16,2020-05-08,2020-10-30,0,5,6,8,3,31.25,37.5,50.0,18.75
1261,Austria,12,2020-05-08,2020-10-30,0,4,5,6,3,33.333333333333336,41.666666666666664,50.0,25.0
1339,Austria,10,2020-05-12,2020-10-09,0,3,4,5,2,30.0,40.0,50.0,20.0
190,Spain,4,2020-07-21,2020-08-22,0,1,2,2,1,25.0,50.0,50.0,25.0
192,Spain,4,2020-07-21,2020-08-22,0,1,2,2,1,25.0,50.0,50.0,25.0
193,Spain,4,2020-07-21,2020-08-22,0,1,2,2,1,25.0,50.0,50.0,25.0
196,Spain,4,2020-07-21,2020-08-22,0,1,2,2,1,25.0,50.0,50.0,25.0
1630,The Netherlands,4,2020-08-20,2020-09-23,0,0,2,2,0,0.0,50.0,50.0,0.0
1633,The Netherlands,4,2020-08-20,2020-09-23,0,0,2,2,0,0.0,50.0,50.0,0.0
1634,The Netherlands,4,2020-08-20,2020-09-23,0,0,2,2,0,0.0,50.0,50.0,0.0
1636,The Netherlands,4,2020-08-20,2020-09-23,0,0,2,2,0,0.0,50.0,50.0,0.0
1230,Austria,19,2020-05-08,2020-10-30,0,5,8,9,4,26.31578947368421,42.10526315789474,47.36842105263158,21.05263157894737
1253,Austria,19,2020-05-08,2020-10-30,0,6,5,9,2,31.57894736842105,26.31578947368421,47.36842105263158,10.526315789473685
1259,Austria,19,2020-05-08,2020-10-30,0,6,5,9,2,31.57894736842105,26.31578947368421,47.36842105263158,10.526315789473685
1334,Austria,17,2020-05-11,2020-10-29,0,5,6,8,3,29.41176470588235,35.294117647058826,47.05882352941177,17.647058823529413
1454,Austria,17,2020-06-16,2020-10-27,0,4,5,8,1,23.529411764705884,29.41176470588235,47.05882352941177,5.882352941176471
1535,Austria,17,2020-05-12,2020-11-03,0,5,7,8,4,29.41176470588235,41.1764705882353,47.05882352941177,23.529411764705884
1228,Austria,15,2020-05-08,2020-10-30,0,5,6,7,4,33.333333333333336,40.0,46.666666666666664,26.666666666666668
1234,Austria,13,2020-05-08,2020-10-30,0,3,5,6,2,23.076923076923077,38.46153846153846,46.15384615384615,15.384615384615385
1240,Austria,11,2020-05-08,2020-10-30,0,3,5,5,3,27.272727272727273,45.45454545454545,45.45454545454545,27.272727272727273
1333,Austria,20,2020-05-11,2020-10-29,0,5,6,9,2,25.0,30.0,45.0,10.0
1453,Austria,20,2020-05-12,2020-10-27,0,6,4,9,1,30.0,20.0,45.0,5.0
1456,Austria,16,2020-05-12,2020-10-27,0,4,6,7,3,25.0,37.5,43.75,18.75
1336,Austria,21,2020-05-11,2020-10-29,0,5,5,9,1,23.80952380952381,23.80952380952381,42.857142857142854,4.761904761904762
396,Spain,14,2020-08-06,2020-12-04,11,2,5,6,1,14.285714285714286,35.714285714285715,42.857142857142854,7.142857142857143
224,Spain,12,2020-07-28,2020-11-11,4,2,5,5,2,16.666666666666668,41.666666666666664,41.666666666666664,16.666666666666668
1442,Austria,17,2020-06-16,2020-10-27,0,4,4,7,1,23.529411764705884,23.529411764705884,41.1764705882353,5.882352941176471
1239,Austria,10,2020-05-08,2020-10-30,0,2,4,4,2,20.0,40.0,40.0,20.0
169,Spain,5,2020-07-22,2020-08-22,0,1,2,2,1,20.0,40.0,40.0,20.0
179,Spain,5,2020-07-21,2020-08-29,0,1,2,2,1,20.0,40.0,40.0,20.0
182,Spain,5,2020-07-21,2020-08-29,0,1,2,2,1,20.0,40.0,40.0,20.0
183,Spain,5,2020-07-21,2020-08-29,0,1,2,2,1,20.0,40.0,40.0,20.0
185,Spain,5,2020-09-05,2020-10-03,0,1,2,2,1,20.0,40.0,40.0,20.0
186,Spain,5,2020-07-21,2020-08-29,0,1,2,2,1,20.0,40.0,40.0,20.0
188,Spain,5,2020-07-21,2020-08-29,0,1,2,2,1,20.0,40.0,40.0,20.0
197,Spain,5,2020-07-21,2020-08-29,0,1,2,2,1,20.0,40.0,40.0,20.0
1245,Austria,21,2020-05-08,2020-10-30,0,5,5,8,2,23.80952380952381,23.80952380952381,38.095238095238095,9.523809523809524
1455,Austria,16,2020-06-23,2020-10-27,0,3,5,6,2,18.75,31.25,37.5,12.5
1231,Austria,19,2020-05-08,2020-10-30,0,4,7,7,4,21.05263157894737,36.8421052631579,36.8421052631579,21.05263157894737
355,Spain,14,2020-07-27,2020-11-11,13,2,4,5,1,14.285714285714286,28.571428571428573,35.714285714285715,7.142857142857143
465,Italy,18,2020-06-16,2020-11-03,13,3,5,6,2,16.666666666666668,27.77777777777778,33.333333333333336,11.11111111111111
473,Italy,18,2020-06-16,2020-11-03,12,3,5,6,2,16.666666666666668,27.77777777777778,33.333333333333336,11.11111111111111
1520,Austria,18,2020-05-14,2020-10-28,0,2,5,6,1,11.11111111111111,27.77777777777778,33.333333333333336,5.555555555555555
377,Spain,15,2020-07-29,2020-12-02,0,3,5,5,3,20.0,33.333333333333336,33.333333333333336,20.0
380,Spain,15,2020-07-29,2020-12-02,1,3,4,5,2,20.0,26.666666666666668,33.333333333333336,13.333333333333334
1255,Austria,15,2020-05-08,2020-10-30,0,3,4,5,2,20.0,26.666666666666668,33.333333333333336,13.333333333333334
159,Portugal,12,2020-07-24,2020-10-30,0,1,4,4,1,8.333333333333334,33.333333333333336,33.333333333333336,8.333333333333334
160,Portugal,12,2020-07-24,2020-10-30,0,1,4,4,1,8.333333333333334,33.333333333333336,33.333333333333336,8.333333333333334
161,Portugal,12,2020-07-24,2020-10-30,0,1,4,4,1,8.333333333333334,33.333333333333336,33.333333333333336,8.333333333333334
162,Portugal,12,2020-07-24,2020-10-30,0,1,4,4,1,8.333333333333334,33.333333333333336,33.333333333333336,8.333333333333334
163,Portugal,12,2020-07-24,2020-10-30,0,1,4,4,1,8.333333333333334,33.333333333333336,33.333333333333336,8.333333333333334
223,Spain,12,2020-08-04,2020-11-11,4,2,3,4,1,16.666666666666668,25.0,33.333333333333336,8.333333333333334
226,Spain,12,2020-08-04,2020-11-11,5,2,3,4,1,16.666666666666668,25.0,33.333333333333336,8.333333333333334
392,Spain,9,2020-08-07,2020-10-17,8,2,3,3,2,22.22222222222222,33.333333333333336,33.333333333333336,22.22222222222222
393,Spain,9,2020-08-07,2020-10-17,8,1,3,3,1,11.11111111111111,33.333333333333336,33.333333333333336,11.11111111111111
171,Spain,6,2020-07-22,2020-08-29,0,1,2,2,1,16.666666666666668,33.333333333333336,33.333333333333336,16.666666666666668
174,Spain,6,2020-07-22,2020-08-29,0,1,2,2,1,16.666666666666668,33.333333333333336,33.333333333333336,16.666666666666668
176,Spain,6,2020-07-22,2020-08-29,0,1,2,2,1,16.666666666666668,33.333333333333336,33.333333333333336,16.666666666666668
178,Spain,6,2020-07-22,2020-08-29,0,1,2,2,1,16.666666666666668,33.333333333333336,33.333333333333336,16.666666666666668
1613,The Netherlands,3,2020-09-15,2020-10-06,0,0,1,1,0,0.0,33.333333333333336,33.333333333333336,0.0
1614,The Netherlands,3,2020-09-15,2020-10-06,0,0,1,1,0,0.0,33.333333333333336,33.333333333333336,0.0
1615,The Netherlands,3,2020-09-15,2020-10-06,0,0,1,1,0,0.0,33.333333333333336,33.333333333333336,0.0
1616,The Netherlands,3,2020-09-15,2020-10-06,0,0,1,1,0,0.0,33.333333333333336,33.333333333333336,0.0
1618,The Netherlands,3,2020-09-15,2020-10-06,0,0,1,1,0,0.0,33.333333333333336,33.333333333333336,0.0
1264,Austria,19,2020-05-08,2020-10-30,0,3,6,6,3,15.789473684210526,31.57894736842105,31.57894736842105,15.789473684210526
1297,Austria,19,2020-05-10,2020-11-01,0,3,5,6,2,15.789473684210526,26.31578947368421,31.57894736842105,10.526315789473685
1349,Austria,16,2020-05-12,2020-10-09,0,3,3,5,1,18.75,18.75,31.25,6.25
227,Spain,13,2020-07-28,2020-11-11,8,2,3,4,1,15.384615384615385,23.076923076923077,30.76923076923077,7.6923076923076925
1293,Austria,13,2020-06-22,2020-10-11,0,3,2,4,1,23.076923076923077,15.384615384615385,30.76923076923077,7.6923076923076925
1332,Austria,20,2020-05-11,2020-10-29,0,4,4,6,2,20.0,20.0,30.0,10.0
1524,Austria,17,2020-06-02,2020-11-03,0,2,4,5,1,11.764705882352942,23.529411764705884,29.41176470588235,5.882352941176471
1536,Austria,21,2020-05-12,2020-11-03,0,3,5,6,2,14.285714285714286,23.80952380952381,28.571428571428573,9.523809523809524
387,Spain,14,2020-08-05,2020-11-18,10,2,4,4,2,14.285714285714286,28.571428571428573,28.571428571428573,14.285714285714286
170,Spain,7,2020-09-12,2020-10-24,0,1,2,2,1,14.285714285714286,28.571428571428573,28.571428571428573,14.285714285714286
175,Spain,7,2020-09-05,2020-10-17,0,1,2,2,1,14.285714285714286,28.571428571428573,28.571428571428573,14.285714285714286
187,Spain,7,2020-09-05,2020-10-17,0,1,2,2,1,14.285714285714286,28.571428571428573,28.571428571428573,14.285714285714286
194,Spain,7,2020-09-12,2020-10-24,0,1,2,2,1,14.285714285714286,28.571428571428573,28.571428571428573,14.285714285714286
231,Spain,15,2020-07-28,2020-11-10,6,2,3,4,1,13.333333333333334,20.0,26.666666666666668,6.666666666666667
234,Spain,15,2020-07-28,2020-11-10,10,2,3,4,1,13.333333333333334,20.0,26.666666666666668,6.666666666666667
388,Spain,15,2020-08-05,2020-11-18,2,2,3,4,1,13.333333333333334,20.0,26.666666666666668,6.666666666666667
390,Spain,15,2020-08-05,2020-11-18,9,2,3,4,1,13.333333333333334,20.0,26.666666666666668,6.666666666666667
394,Spain,15,2020-08-06,2020-12-04,8,1,4,4,1,6.666666666666667,26.666666666666668,26.666666666666668,6.666666666666667
397,Spain,15,2020-08-06,2020-12-04,11,1,4,4,1,6.666666666666667,26.666666666666668,26.666666666666668,6.666666666666667
1292,Austria,15,2020-06-15,2020-10-11,0,2,3,4,1,13.333333333333334,20.0,26.666666666666668,6.666666666666667
1439,Austria,23,2020-05-12,2020-10-27,0,3,4,6,1,13.043478260869565,17.391304347826086,26.08695652173913,4.3478260869565215
1476,Austria,23,2020-05-07,2020-10-22,0,3,4,6,1,13.043478260869565,17.391304347826086,26.08695652173913,4.3478260869565215
1241,Austria,24,2020-05-08,2020-10-30,0,3,4,6,1,12.5,16.666666666666668,25.0,4.166666666666667
1266,Austria,24,2020-05-08,2020-10-30,0,3,4,6,1,12.5,16.666666666666668,25.0,4.166666666666667
1534,Austria,24,2020-05-12,2020-11-03,0,3,4,6,1,12.5,16.666666666666668,25.0,4.166666666666667
1294,Austria,20,2020-05-10,2020-11-01,0,2,5,5,2,10.0,25.0,25.0,10.0
1518,Austria,20,2020-05-14,2020-10-28,0,2,4,5,1,10.0,20.0,25.0,5.0
439,Italy,16,2020-07-07,2020-11-03,12,2,4,4,2,12.5,25.0,25.0,12.5
443,Italy,16,2020-06-30,2020-10-27,15,2,4,4,2,12.5,25.0,25.0,12.5
127,Portugal,8,2020-09-07,2020-11-02,5,0,2,2,0,0.0,25.0,25.0,0.0
128,Portugal,8,2020-09-07,2020-11-02,0,0,2,2,0,0.0,25.0,25.0,0.0
129,Portugal,8,2020-09-07,2020-11-02,3,0,2,2,0,0.0,25.0,25.0,0.0
130,Portugal,8,2020-09-07,2020-11-02,1,0,2,2,0,0.0,25.0,25.0,0.0
131,Portugal,8,2020-09-07,2020-11-02,4,0,2,2,0,0.0,25.0,25.0,0.0
172,Spain,8,2020-09-05,2020-10-24,0,1,2,2,1,12.5,25.0,25.0,12.5
173,Spain,8,2020-09-05,2020-10-24,0,1,2,2,1,12.5,25.0,25.0,12.5
177,Spain,8,2020-09-05,2020-10-24,0,1,2,2,1,12.5,25.0,25.0,12.5
180,Spain,8,2020-09-05,2020-10-24,0,1,2,2,1,12.5,25.0,25.0,12.5
181,Spain,8,2020-09-05,2020-10-24,0,1,2,2,1,12.5,25.0,25.0,12.5
184,Spain,8,2020-09-05,2020-10-24,0,1,2,2,1,12.5,25.0,25.0,12.5
440,Italy,17,2020-06-30,2020-11-03,14,2,4,4,2,11.764705882352942,23.529411764705884,23.529411764705884,11.764705882352942
441,Italy,17,2020-06-30,2020-11-03,14,2,4,4,2,11.764705882352942,23.529411764705884,23.529411764705884,11.764705882352942
442,Italy,17,2020-06-30,2020-11-03,15,2,4,4,2,11.764705882352942,23.529411764705884,23.529411764705884,11.764705882352942
225,Spain,13,2020-08-04,2020-11-11,4,1,3,3,1,7.6923076923076925,23.076923076923077,23.076923076923077,7.6923076923076925
381,Spain,18,2020-07-29,2020-12-02,2,2,3,4,1,11.11111111111111,16.666666666666668,22.22222222222222,5.555555555555555
1298,Austria,23,2020-05-10,2020-11-01,0,2,4,5,1,8.695652173913043,17.391304347826086,21.73913043478261,4.3478260869565215
398,Spain,14,2020-08-06,2020-12-04,10,1,3,3,1,7.142857142857143,21.428571428571427,21.428571428571427,7.142857142857143
484,Italy,19,2020-06-16,2020-11-03,16,2,4,4,2,10.526315789473685,21.05263157894737,21.05263157894737,10.526315789473685
232,Spain,15,2020-07-28,2020-11-10,11,2,2,3,1,13.333333333333334,13.333333333333334,20.0,6.666666666666667
353,Spain,15,2020-07-27,2020-11-11,14,1,3,3,1,6.666666666666667,20.0,20.0,6.666666666666667
